사업장명,도로명전체주소,상세영업상태명
소소락,"제주특별자치도 제주시 광평서길 14, 1층 (노형동)",영업
구어라조연탄,"제주특별자치도 제주시 서광로32길 28, 1층 (이도이동)",영업
돌코롬마켓,"제주특별자치도 제주시 동문로4길 14, 1층 (일도일동)",영업
제주돈애월점,"제주특별자치도 제주시 애월읍 신엄로 28, 1층",영업
끌림삼육오,"제주특별자치도 제주시 애월읍 고내로13길 83, A동 1층",영업
낭뿌리식당,"제주특별자치도 제주시 수덕9길 82, 1층 (노형동)",영업
동궁찜닭,"제주특별자치도 제주시 성신로1길 21, 1층 (연동)",영업
제주한우앤돈본점,"제주특별자치도 제주시 오라로 50, 1층 (오라삼동)",영업
땅스부대찌개한림점,"제주특별자치도 제주시 한림읍 한림중앙로 40-1, 1층",영업
넝쿨하눌연동,"제주특별자치도 제주시 신대로7길 17, 1층 (연동)",영업
커피마마제주연동점,"제주특별자치도 제주시 연동7길 8, 1층 (연동)",영업
아라수산,"제주특별자치도 제주시 인다3길 8, 1층 (아라일동)",영업
일품순두부터미널점,"제주특별자치도 제주시 서광로 167, 아리랑빌딩 1층 (용담일동)",영업
